time,wind_speed_10m,temperature_2m,cloud_cover,relative_humidity_2m,surface_pressure,apparent_temperature,precipitation,vapour_pressure_deficit
2021-01-03 22:00:00,12.964998,20.8,100.0,85.34685,1017.69824,21.936321,0.6,0.35995865
2021-01-03 23:00:00,14.417988,20.7,100.0,86.95739,1017.39825,21.716326,0.5,0.31842685
2021-01-04 00:00:00,15.226764,20.65,100.0,87.77352,1016.8987,21.594702,0.4,0.29758215
2021-01-04 01:00:00,15.226764,20.55,100.0,89.427956,1016.2991,21.588129,0.6,0.2557323
2021-01-04 02:00:00,15.111424,20.4,100.0,90.541725,1015.6992,21.478561,0.6,0.22668552
2021-01-04 03:00:00,14.332341,20.35,100.0,90.53829,1015.3993,21.518715,0.9,0.22607064
2021-01-04 04:00:00,14.113653,20.5,100.0,91.685394,1015.59973,21.866343,1.3,0.20050168
2021-01-04 05:00:00,15.484185,20.7,100.0,90.28034,1016.1,21.84243,1.2,0.2372868
2021-01-04 06:00:00,16.563911,20.8,100.0,90.00647,1016.49976,21.808779,1.2,0.24547648
2021-01-04 07:00:00,18.35647,20.65,100.0,90.27686,1017.1983,21.349773,1.4,0.23664427
2021-01-04 08:00:00,20.06334,20.85,100.0,90.85482,1017.8984,21.44461,0.9,0.22532535
2021-01-04 09:00:00,21.2522,21.25,100.0,88.64993,1018.49915,21.670906,0.7,0.28659558
2021-01-04 10:00:00,21.24305,21.5,100.0,87.30242,1018.6003,21.922033,0.9,0.32556224
2021-01-04 11:00:00,22.253124,21.7,100.0,86.240974,1018.00195,21.974562,0.9,0.35711217
2021-01-04 12:00:00,22.7057,21.65,100.0,87.58774,1016.90314,21.955853,0.7,0.32117033
2021-01-04 13:00:00,18.64369,21.7,100.0,87.32042,1015.7049,22.598188,0.6,0.32908988
2021-01-04 14:00:00,18.681883,21.9,100.0,84.13929,1014.80676,22.599,0.3,0.41671896
2021-01-04 15:00:00,23.664352,21.7,100.0,86.240974,1014.6063,21.768757,0.3,0.35711217
2021-01-04 16:00:00,19.881649,21.35,100.0,88.38273,1014.90436,21.994911,0.4,0.2951424
2021-01-04 17:00:00,17.373497,21.25,100.0,88.926216,1015.503,22.260769,0.7,0.2796185
2021-01-04 18:00:00,17.698677,21.15,100.0,89.47345,1015.80225,22.113428,0.5,0.26417708
2021-01-04 19:00:00,19.523155,20.6,100.0,88.044334,1016.09937,20.918184,0.1,0.29009676
2021-01-04 20:00:00,18.03237,20.65,100.0,88.04865,1016.59906,21.208796,0.1,0.29088497
2021-01-04 21:00:00,15.379206,20.6,100.0,88.044334,1016.69855,21.522509,0.1,0.29009676
2021-01-04 22:00:00,12.984975,20.45,100.0,88.03154,1016.5981,21.652437,0.2,0.28774095
2021-01-04 23:00:00,9.387651,20.15,100.0,89.95948,1016.2971,21.900318,0.5,0.23696446
2021-01-05 00:00:00,7.342588,20.1,100.0,90.80493,1016.09717,22.194883,0.7,0.21633959
2021-01-05 01:00:00,7.5942082,20.3,100.0,90.25222,1015.6986,22.404593,0.5,0.23219085
2021-01-05 02:00:00,6.9153743,20.35,100.0,90.25573,1015.1995,22.576923,0.2,0.2328229
2021-01-05 03:00:00,5.692099,20.15,100.0,92.23868,1014.8989,22.625961,0.1,0.18316722
